Season,Row ID,Team,Wins,1 TS,1% TS,1% SC,2 TS,2% TS,2% SC,3 TS,3% TS,3% SC,4 TS,4% TS,4% SC,5 TS,5% TS,5% SC,6 TS,6% TS,6% SC,7 TS,7% TS,7% SC,8 TS,8% TS,8% SC,9 TS,9% TS,9% SC,10 TS,10% TS,10% SC
2016-17,0,Utah Jazz,0.6219512195121951,16073140.0,19.942308135866025,17.0731121804064,27123140.0,33.652292924234665,28.81057540125129,38123140.0,47.3002415823392,40.49492792878918,48277635.0,59.89915307406457,51.28117332143653,56277635.0,69.82493391632241,59.77888425055501,63277635.0,78.50999215329801,67.21438131353366,67217955.0,83.39883624934369,71.39984385456167,69651289.0,86.41792874934552,73.98456497031111,71991889.0,89.32196407926911,76.47078274539795,74241889.0,92.11358994115412,78.86076394421254
2016-17,1,Denver Nuggets,0.4878048780487805,15050000.0,18.22607666672597,15.986318685404118,27128652.0,32.85374692471287,28.81643032408145,38328652.0,46.4173388627415,40.7132256248473,46398827.0,56.190603199212944,49.28547741202214,51398827.0,62.24577817154715,54.59654674272117,55939352.0,67.7445128397987,59.419555357275634,59472685.0,72.02350274990322,63.172710663565,62972685.0,76.26212523053717,66.89045919505433,66214485.0,80.18805847559977,70.33394410630636,69425325.0,84.0764980772337,73.74454287626271
2016-17,2,Portland Trailblazers,0.5,24328425.0,21.746512073429702,25.841990376342373,42828425.0,38.28315484247248,45.49294689992883,59221868.0,52.93680406656247,62.906289368301415,68435352.0,61.17248479987552,72.69297982855868,77424116.0,69.20729448653671,82.24096958881701,85105081.0,76.07309850418648,90.39979711715156,92505081.0,82.68775561180358,98.26017972658614,99171748.0,88.64690645716391,105.34160585492285,102391327.0,91.5247998512024,108.76148731185538,105142687.0,93.98416511871773,111.6840200545978
2016-17,3,Minnesota Timberwolves,0.3780487804878049,13550000.0,16.601042724357793,14.392997886194406,25650000.0,31.42559010182859,27.24578566648609,33650000.0,41.22694373982581,35.743496595604554,41293979.0,50.592111412378856,43.86303708188607,47300579.0,57.95121275762812,50.243330890241445,53260739.0,65.2534172450088,56.57429548665328,57172119.0,70.0455195690825,60.729017558395206,61044639.0,74.79001181785962,64.84246199929893,64844639.0,79.4456547959083,68.87887469063021,68344639.0,83.73374701253208,72.59662322211953
2016-17,4,Oklahoma City Thunder,0.573170731707317,26540100.0,29.05639896952428,28.19126222873713,43685938.0,47.827854600619496,46.40380909892398,52635938.0,57.62641492168997,55.910623200875264,59188898.0,64.80066898219968,62.87126817713479,65183662.0,71.36380380505797,69.23898962217054,70021162.0,76.65995302887679,74.37744919962185,73771162.0,80.76549506284486,78.36075119764614,76911679.0,84.20376827668255,81.69665190189393,79469224.0,87.00379721035318,84.41331166417046,81952264.0,89.72225723489294,87.05083118235025
2016-17,5,Phoenix Suns,0.2926829268292683,14000000.0,16.448184260267233,14.87099412595732,26606250.0,31.258893033909647,28.261527675982283,39021250.0,45.84490786185377,41.44891282410801,49491250.0,58.14579994792505,52.5702920025918,55119250.0,64.75797002055248,58.54843164122664,59942871.0,70.4250990926735,63.67214875242981,64219191.0,75.44922047237822,68.2145151524808,68219191.0,80.14870168959743,72.46337061704004,71552525.0,84.06493682052698,76.0040842123153,74493965.0,87.5207473284213,79.12852256673358
2016-17,6,Los Angeles Clippers,0.6219512195121951,22868827.0,19.67421781573993,24.29158514175244,44034502.0,37.8832016069576,46.774058612961134,64175340.0,55.21051069034573,68.16793601223671,77428352.0,66.61217308442545,82.24546912675397,88428352.0,76.07555290592391,93.92982165429189,95805852.0,82.42246969075163,101.7663044517383,101433852.0,87.26427893033284,107.74444409037316,104933852.0,90.27535432808234,111.46219262186248,107136852.0,92.17061121415152,113.8022497689685,108688511.0,93.50551471146484,115.45044347428912
2016-17,7,Los Angeles Lakers,0.3170731707317073,18000000.0,18.90236427937052,19.119849590516555,34000000.0,35.7044658610332,36.1152714487535,46500000.0,48.83110772170717,49.3929447755011,54208427.0,56.92596856475913,57.580942821027584,61808427.0,64.90696681604891,65.65376820369013,67999427.0,71.40832999680352,72.2299342489617,73443345.0,77.12515894919363,78.01253943468977,78776145.0,82.7252994063618,83.67711354004015,84057825.0,88.27175714897656,89.28738727255346,87324945.0,91.70266228144418,92.75776743889614
2016-17,8,Golden State Warriors,0.8170731707317073,26540100.0,26.08989563088202,28.19126222873713,43203675.0,42.47080348681982,45.89154265319779,58534110.0,57.54118563029407,62.17574328415283,70646469.0,69.44808056112608,75.04165896561614,81777837.0,80.39062521427131,86.8655524043211,87560287.0,86.07498650118409,93.00775097458124,90458287.0,88.92382721912773,96.0860467586544,92009946.0,90.44916515548512,97.734240463975,93561605.0,91.97450309184252,99.38243416929564,94965216.0,93.3543043923786,100.87336923616202
2016-17,9,Sacremento Kings,0.3902439024390244,13333333.0,13.882656964021942,14.162851194459492,25833333.0,26.89764819316729,27.4405245212071,36494619.0,37.9981716956801,38.76509034128932,44541119.0,46.376181849705546,47.31219421518328,52541119.0,54.705776236358574,55.80990514430175,60541119.0,63.0353706230116,64.30761607342022,66666119.0,69.41271632529282,70.81367600352655,71895573.0,74.85762016075034,76.36847455466683,77095573.0,80.2718565120748,81.89198665859384,81104455.0,84.4459016375691,86.15027670671212
