,1 TS,1% TS,1% SC,2 TS,2% TS,2% SC,3 TS,3% TS,3% SC,4 TS,4% TS,4% SC,5 TS,5% TS,5% SC,6 TS,6% TS,6% SC,7 TS,7% TS,7% SC,8 TS,8% TS,8% SC,9 TS,9% TS,9% SC,10 TS,10% TS,10% SC,1 TS_scaled,1% TS_scaled,1% SC_scaled,2 TS_scaled,2% TS_scaled,2% SC_scaled,3 TS_scaled,3% TS_scaled,3% SC_scaled,4 TS_scaled,4% TS_scaled,4% SC_scaled,5 TS_scaled,5% TS_scaled,5% SC_scaled,6 TS_scaled,6% TS_scaled,6% SC_scaled,7 TS_scaled,7% TS_scaled,7% SC_scaled,8 TS_scaled,8% TS_scaled,8% SC_scaled,9 TS_scaled,9% TS_scaled,9% SC_scaled,10 TS_scaled,10% TS_scaled,10% SC_scaled
108,25565217.0,20.847095133013166,23.42424134139637,45459954.0,37.070210895546175,41.652880703683344,62459954.0,50.93282028631425,57.22920469122228,76931864.0,62.733904725628975,70.48915521348727,90981765.0,74.19086293397967,83.36243815283123,103171002.0,84.13054712824425,94.53087960417812,107199402.0,87.41549628528955,98.22191863661352,111031242.0,90.54016105987313,101.73285871357888,114786642.0,93.60249301905493,105.17376030786146,116463377.0,94.96978256945664,106.7100760491112,-0.15657718445788357,-0.448651265529598,-0.4144111243173873,-0.17550433574999835,-0.4926173586429692,-0.4262268106993209,-0.04764392588385622,-0.35340251632409864,-0.3081709501819875,0.1220974601395472,-0.12695119590007944,-0.1569987780694687,0.3968056827980181,0.3559780568825886,0.10827180801885995,0.6744028140843117,0.9392024992647452,0.3756003582541462,0.6060578115315509,0.84441208609653,0.2844706605263796,0.5934801632214661,0.8685018138698205,0.2524541965564512,0.630157305505893,1.028257398928781,0.2749880105581634,0.5798348307210978,0.955237133957651,0.20814343434519786
109,28000000.0,21.006091398899077,25.655121861828853,47863636.0,35.90813973212987,43.85526479750778,64863636.0,48.66183808146146,59.43158878504673,77363636.0,58.03955745596997,70.88476818764889,87108836.0,65.35057752384682,79.81385010078797,96366836.0,72.2960916013828,88.29653289353125,103616836.0,77.73516883859773,94.9393769470405,109423276.0,82.09126202939144,100.25955286787612,115120876.0,86.36570154204742,105.48000366501742,120694209.0,90.54691377042244,110.58659428257285,0.20213001026629515,-0.41071127180621936,-0.03991152684428999,0.01760419538623391,-0.6575369528293609,-0.22562727659115892,0.10658393606534293,-0.6333212062667435,-0.15061319099961532,0.1472485939423251,-0.7065058930537133,-0.13122903068348138,0.18406030163433387,-0.7726440278979202,-0.11069015089236543,0.3080024753783958,-0.7003389299125663,-0.0029238384860914316,0.4122814751862947,-0.6651141350975259,0.08341405242570812,0.5052520359992848,-0.6452709959694465,0.1601540100259433,0.648780879940907,-0.44764933944111013,0.2946547105374459,0.8187304430498524,-0.09581033881413428,0.4629140158628143
110,30603448.0,22.66486824659783,28.040542422576515,56446145.0,41.803931356145135,51.71902602162361,72071145.0,53.37578320607691,66.0355002748763,84164169.0,62.33185886339975,77.11578614623421,94298076.0,69.83701537315889,86.40102253985707,101298076.0,75.02120500192834,92.81480300531427,106065076.0,78.55163813912033,97.18258750229064,109565076.0,81.14373295350505,100.38947773501928,112734424.0,83.49094738658522,103.29340663368151,115695544.0,85.68394847137691,106.00654572109218,0.5856859693354498,-0.014890760931232113,0.3605308238876377,0.7071112543289284,0.1791859542098453,0.4906269146367654,0.5690405767730615,-0.05228567858879271,0.32182824148886574,0.5433861744552034,-0.17658697155564873,0.27465189142372637,0.5789752623984494,-0.19986921307973263,0.2957645177790549,0.5735468501394114,-0.3228026495776152,0.2714071610711397,0.5447035932139627,-0.5377959400544415,0.22081133421099547,0.5130325167060319,-0.8150379379620265,0.16829358912775905,0.5158073749785503,-1.0339407978427793,0.1542332229001732,0.5364788348552197,-1.2514420385052472,0.16190636799077834
111,32742000.0,27.48023631593214,30.0,65442690.0,54.92580130567128,59.962149532710285,77996161.0,65.46188186474528,71.46432197177937,85826161.0,72.03357114315676,78.63859354956936,92360990.0,77.5182283175568,84.62615906175554,97360990.0,81.71470933825381,89.2074308227964,102127990.0,85.71563434338631,93.57521531977275,105586390.0,88.61825633578201,96.74398937144952,108092183.0,90.72135888904108,99.03993311343227,110472023.0,92.71874956750021,101.2204718709914,0.9007505926270458,1.1341615976782213,0.6894664469699743,1.4298814004010856,2.0414242879453464,1.2414345237893578,0.9492083983462963,1.437433129344938,0.710204176441868,0.6401988051286756,1.0211669650794424,0.3738457113044318,0.47256843195646697,0.7807763390438073,0.18624840087128067,0.36153708378240024,0.6045131564495027,0.052382182014597,0.33175173106928774,0.5793398364393462,-0.00014123357439812124,0.2947244090811742,0.5241578817273491,-0.060090257263475465,0.2571409292884817,0.4406647772337761,-0.11892139625443017,0.24153064315034734,0.420303213161984,-0.1526415702727744
112,34234964.0,26.092286093121565,31.36793476269013,51521920.0,39.2675942848055,47.20718343412131,67165670.0,51.19052782635298,61.54083745647792,78558527.0,59.873629822955714,71.97959226681327,88290923.0,67.29120621659679,80.89694245922668,95624256.0,72.8803291568788,87.6161407366685,102941329.0,78.45705948673267,94.3204407183434,108273058.0,82.52065360761426,99.20566061938791,112100218.0,85.43753570639933,102.71231262598495,115669861.0,88.15815040914326,105.98301356056442,1.1207032242431647,0.8029662551436932,0.9191026884920424,0.3115057388180108,-0.18076763012617952,0.07967519937502493,0.25428973989228953,-0.32163777733062016,0.00028169384856022124,0.21685214262249672,-0.48007499773490936,-0.05991352336992158,0.248993986032792,-0.5248877282556185,-0.04385905609989866,0.26801497896572174,-0.6193988583948857,-0.044234485230360804,0.37574417995277354,-0.552544300224133,0.04550403313555067,0.4421402661998966,-0.5683377418800533,0.09412939510824495,0.4804693104844158,-0.636944031088657,0.11691583709543545,0.5350286340409498,-0.6634744066405546,0.16035979917284432
113,27250576.0,23.449677964419603,24.96845886017959,46750576.0,40.22982676957447,42.835418728238956,59650576.0,51.33054059452309,54.65509987172439,69650576.0,59.93574510998712,63.817643393806115,77807076.0,66.95458017302536,71.2910720175921,83155083.0,71.55664957153868,76.19120670698186,88462203.0,76.12353487034963,81.05387850467291,93762603.0,80.68463747172619,85.91039307311708,98964003.0,85.16054854839966,90.67619846069269,102341572.0,88.0670157494088,93.7709107568261,0.0917202609379267,0.17238203822727408,-0.15518216342121643,-0.07181752581752544,-0.044208875467354615,-0.31851781595303397,-0.22790253011982306,-0.3043799623826766,-0.49232147524156405,-0.30204456098401106,-0.47240636899992633,-0.5915729338846288,-0.32689832339935804,-0.5678641220552493,-0.6365793657274602,-0.4034426560453378,-0.8027809763297122,-0.73791005014751,-0.40741291743533997,-0.9164283336548203,-0.7670766595361939,-0.3540396715548431,-0.8972931826903181,-0.7387972358917587,-0.2514827884847169,-0.6934341502571432,-0.6560336511922173,-0.21755850767245427,-0.6851315839497124,-0.6422378788169252
114,21000000.0,18.30726319483136,19.24134139637164,41000000.0,35.74275195181361,37.56642844053509,59000000.0,51.43469183309763,54.0590067802822,69810000.0,60.858573506246536,63.96371632765256,80310000.0,70.01220510366221,73.58438702583838,87643334.0,76.40521822907199,80.30358621953455,92410334.0,80.56096697429871,84.6713707165109,95939889.0,83.63794280028124,87.90534084661901,99439889.0,86.68915333275314,91.11223107934762,102256649.0,89.144732698309,93.69309968847351,-0.8291530088238049,-1.0547108308668065,-1.1165976965405913,-0.5338109527963313,-0.6810085666786876,-0.7984327408281143,-0.269645550001597,-0.29154239888464895,-0.5349657587773358,-0.29275795982558933,-0.3584758263714192,-0.5820579208516763,-0.18940922395970056,-0.17750308012138272,-0.4950727328803524,-0.16175297848644735,-0.13106192950131107,-0.488223078291801,-0.19386364560304636,-0.22446619161296452,-0.545504237088956,-0.23457329838086158,-0.3681552098738558,-0.6138170410802601,-0.22496634089535994,-0.38168299524601934,-0.62803199012141,-0.22235371865833006,-0.42902367594388924,-0.6473517387135658
115,32742000.0,24.805064105885855,34.779006405149616,60742000.0,46.017628853451775,64.52099465706425,88246630.0,66.85490545105337,93.7367940261092,98363206.0,74.51913843047019,104.4827613311664,106477136.0,80.66618362626369,113.10149028605422,111244136.0,84.2776227745368,118.16506378594265,114302936.0,86.59494395488875,121.41416355969109,116885096.0,88.55116667590927,124.15696971628269,119205140.0,90.30881251759506,126.62135262313716,121233734.0,91.84565828800665,128.77615329870514,0.9007505926270458,0.4958068772538916,1.4917218607663725,1.052234381691133,0.7771882996402797,1.656667366498751,1.6069110053660873,1.6091356360864397,2.3035687481222196,1.370493720700893,1.3280301163772699,2.057303329306473,1.2479879816905872,1.1826696850704308,1.9432892898322667,1.1091363335219981,0.9595783091000468,1.8105719756868572,0.9902787285011094,0.7164571935143378,1.7050022300981673,0.9146776110854604,0.5121375578283048,1.6572878462479201,0.8763567537785434,0.3565280473802559,1.6523349912721836,0.8491949368519395,0.212822407262614,1.6583590644859474
116,37199000.0,29.290964944811893,34.08374564779182,68941000.0,54.28501879782459,63.16749129558366,79546600.0,62.63600290542686,72.88491845336266,89428198.0,70.4168986450092,81.93897562763424,97094865.0,76.4537295904794,88.96359263331499,102569652.0,80.76464639193406,93.97989004947772,107336652.0,84.51824272226332,98.34767454645409,110818638.0,87.2600027121643,101.538059373282,113444356.0,89.32752640616043,103.94388491845335,116009109.0,91.3470454850362,106.29385101704236,1.557383223496271,1.5662411338337152,1.3750079124466041,1.7109308510185934,1.9504852865462081,1.5333863527608804,1.048689482804496,1.089118495025655,0.8118331334290891,0.8500209208507619,0.8215758214679941,0.5888285808860183,0.7326067753539927,0.64487385209206,0.4538852574314885,0.6420204701378526,0.4728917601561164,0.34214651163874155,0.6134814855583202,0.3926215607325767,0.29217324561813096,0.5818147096236012,0.2808022211992422,0.24025033847914493,0.5553649048701785,0.1563997462212959,0.19600641069582186,0.5541844073477853,0.09433240670727853,0.18078850214159695
117,18000000.0,16.164408703819262,16.492578339747116,33000000.0,29.63474929033532,30.236393622869702,44511234.0,39.972098793740884,40.78361187465641,54311234.0,48.7727213102647,49.7629045262965,62311234.0,55.956902956406594,57.09293934396189,70311234.0,63.1410846025485,64.42297416162728,78151194.0,70.18154669485932,71.60637163276526,84582860.0,75.95732879877367,77.49941359721457,89438660.0,80.31794745344065,81.94856148066705,93902300.0,84.32639752381375,86.03839105735752,-1.2711314455767049,-1.5660428768498875,-1.578034626410436,-1.1765200337354316,-1.5478481819557839,-1.4660735821978566,-1.1992907370364254,-1.7044086116035704,-1.4846826948270033,-1.1955759689691758,-1.850570894530838,-1.5070815087974767,-1.1781064949775684,-1.9719162326054729,-1.5126604710869527,-1.095076373371993,-1.968670474606604,-1.4524293058179183,-0.9651219863102648,-1.843007212966691,-1.3457391309702162,-0.8577266483136359,-1.744275885053716,-1.2657312576323498,-0.7822364951080429,-1.6810579625495574,-1.2165154183994664,-0.694085359140183,-1.574049503801701,-1.1504306491810796
